"№ п/п, № Отчета","Наименование объекта","Адрес объекта","Цель испытаний","Дата выполнения работ","Исполнители работ","Наименование заказчика",Электроустановка,"Среднее время заполнения линии (минуты)","Количество щитов","Наличие цепи: кол-во точек","Сопротивление изоляции: кол-во линий","Фаза-нуль: количество линий","УЗО: Количество УЗО","Автоматы: Количество Автоматов","Заземлителей: Кол-во ЗУ","Молниезащита: Кол-во МЗ","Затраченное время общее (минуты)","Затраченное время Планшетное (минуты)","Затраченное время Вебверсия (минуты)","Затраченное эффективное время общее (минуты)","Затраченное эффективное время Планшетное (минуты)","Затраченное эффективное время Вебверсия (минуты)","Среднее время межу щитами общее (минуты)","Среднее время межу щитами Планшетное (минуты)","Среднее время межу щитами Вебверсия (минуты)","Время старта","Время окончания",Инженер
"Тест меток 22",,,,,-,," - ",2.25,5,-,-,-,-,-,-,-,9,-,9,9,-,9,-,-,-,"2020-12-02 07:46","2020-12-02 07:57",KozhinDev
"Тест альбома дефектов",,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2020-12-22 04:25","2020-12-22 04:25",KozhinDev
hhh,,,,,-,," - ",-,1,-,-,-,-,-,-,-,7,6,1,7,6,1,-,-,-,"2020-12-22 04:45","2020-12-22 05:05",KozhinDev
Oo,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2020-12-22 07:38","2020-12-22 07:39",KozhinDev
Ddd,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2020-12-22 08:42","2020-12-22 08:42",KozhinDev
Llgd,,,,,-,," - ",-,1,-,-,-,-,-,-,-,24,24,-,8,8,-,5.3333333333333,5.3333333333333,-,"2020-12-22 09:24","2020-12-22 09:48",KozhinDev
Sss,,,,,-,," - ",-,1,-,-,-,-,-,-,-,9,9,-,9,9,-,-,-,-,"2020-12-22 09:55","2020-12-22 10:04",KozhinDev
" Vvv",,,,,-,," - ",-,1,-,-,-,-,-,-,-,11,11,-,11,11,-,-,-,-,"2020-12-24 05:10","2020-12-24 05:19",KozhinDev
Zzz,,,,,-,," - ",-,1,-,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,"2020-12-24 05:44","2020-12-24 05:46",KozhinDev
Bbb,,,,,-,," - ",-,1,-,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,"2020-12-24 06:48","2020-12-24 06:50",KozhinDev
Hhg,,,,,-,," - ",-,1,-,-,-,-,-,-,-,12,12,-,12,12,-,-,-,-,"2020-12-24 07:31","2020-12-24 07:42",KozhinDev
Gg,,,,,-,," - ",3,1,-,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,"2020-12-24 09:33","2020-12-24 09:36",KozhinDev
Lllll,,,,,-,," - ",-,1,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,"2020-12-24 09:50","2020-12-24 09:52",KozhinDev
Ssssshh,,,,,-,," - ",-,1,-,-,-,-,-,-,-,6035,2,6033,49,2,47,665.11111111111,-,665.11111111111,"2020-12-24 10:06","2020-12-29 13:59",KozhinDev
Жжжж,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2020-12-29 14:08","2020-12-29 14:08",KozhinDev
,,,,,-,," - ",-,1,-,-,-,-,-,-,-,4,-,4,4,-,4,-,-,-,"2020-12-29 15:33","2020-12-29 15:37",KozhinDev
mmm,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2020-12-30 01:29","2020-12-30 01:30",KozhinDev
Dddd,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2020-12-30 02:02","2020-12-30 02:02",KozhinDev
fff,,,,,-,," - ",-,1,-,-,-,-,-,-,-,6,-,6,6,-,6,-,-,-,"2020-12-30 02:15","2020-12-30 02:20",KozhinDev
lll,,,,,-,," - ",-,1,-,-,-,-,-,-,-,2,-,2,2,-,2,-,-,-,"2020-12-30 01:46","2020-12-30 01:47",KozhinDev
Sssa,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2020-12-30 02:22","2020-12-30 02:22",KozhinDev
jjj,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2020-12-30 06:10","2020-12-30 06:10",KozhinDev
Вввв,,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,"2020-12-30 06:12","2020-12-30 06:13",KozhinDev
"Тест 100500",Квартира,"Ленина 12 - 123",Эксплуатационные,,"Алексей Донкин, Елена Каверина","ЖСК ""Знамя""","Новая - Удовлетворительно",2.5,1,-,-,-,-,-,-,-,20542,-,20542,25,-,25,2051.7,-,2051.7,"2020-12-30 10:09","2021-01-13 16:33",KozhinDev
"Тест меток оффлайн",,,,,-,"ООО""ДЕЛО 777"""," - ",1.5,8,-,-,-,-,-,-,-,12,12,-,12,12,-,-,-,-,"2021-01-28 07:22","2021-01-28 07:33",KozhinDev
"Тест1 (копия)","Жилое помещение","Красноярск ул. Нагорная 12-121",Эксплуатационные,2021-04-08,"Рязанов А.В., Еселевский И.А., Аксенов С.А., Винтер Мария, Алексей Рязанов, Аксенов Сергей","ЖСК ""Луч""","Новая - Удовлетворительно",1,5,128,20,13,9,12,3,3,86,2,84,26,2,24,10,-,10,"2021-02-04 07:23","2021-05-28 02:51",KozhinDev
"Тест нового формата меток",111,222,Эксплуатационные,,"Еселевский И.А., Константин Барчуков","ООО""ДЕЛО 777""","Новая - Удовлетворительно",1.5,2,-,-,-,-,-,-,-,3,-,3,3,-,3,-,-,-,"2021-02-05 03:10","2021-02-05 03:14",KozhinDev
"19.01.21-7.1 (копия)",Котельная,"МО, г.Химки, Транспортный пр.3",Приёмо-сдаточные,2021-01-29,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО""ИРКОМ""","Новая - Удовлетворительно",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KozhinDev
"19.01.21-7.1 (копия)",Котельная,"МО, г.Химки, Транспортный пр.3",Приёмо-сдаточные,2021-01-29,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО""ИРКОМ""","Новая - Удовлетворительно",-,0,-,-,-,-,-,-,-,201,201,-,23,23,-,19.777777777778,19.777777777778,-,"2021-02-18 08:07","2021-02-18 11:36",KozhinDev
"19.01.21-7.1 (копия)",Котельная,"МО, г.Химки, Транспортный пр.3",Приёмо-сдаточные,2021-01-29,"Рязанов А.В., Еселевский И.А., Аксенов С.А.","ООО""ИРКОМ""","Новая - Удовлетворительно",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KozhinDev
"Тест datalist",,,,,-,"ООО""ДЕЛО 777"""," - ",0.33333333333333,1,-,-,-,-,-,-,-,5,5,-,5,5,-,-,-,-,"2021-02-20 05:02","2021-02-20 05:09",KozhinDev
"25.02.21-3.1 (копия)",,,Эксплуатационные,2021-02-25,-,," - ",-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KozhinDev
"Тест1 (копия) (копия)","Жилое помещение","Красноярск ул. Нагорная 12-121",Эксплуатационные,,"Рязанов А.В., Еселевский И.А., Аксенов С.А., Винтер Мария","ЖСК ""Луч""","Новая - Удовлетворительно",0.23076923076923,5,128,20,14,9,12,3,3,6,-,6,6,-,6,-,-,-,"2021-03-02 09:27","2021-03-10 01:35",KozhinDev
"Тест передачи прав",,,,,-,," - ",-,0,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-03-04 13:04","2021-03-05 06:47",KozhinDev
"Тест прав 2",,,,,-,," - ",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-03-05 08:40","2021-03-05 08:40",KozhinDev
"Тест прав 3",123,123,Эксплуатационные,,"Опалев Александр, Рязанов А.В.","ООО""ДЕЛО 777""","Новая - Удовлетворительно",2,2,-,-,-,-,-,-,-,4,-,4,4,-,4,-,-,-,"2021-03-09 09:41","2021-03-09 09:46",KozhinDev
"test save empty copy (копия)",,,,,-,," - ",-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KozhinDev
"Тест (пропадают данные)",,,,,-,," - ",-,1,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,"2021-03-11 08:34","2021-03-11 08:34",KozhinDev
ТЕСТ!,"Холодильный комплекс","г.Москва, Зеленоград, Западный 2-ой проезд, д.5",Эксплуатационные,2021-01-25,"Рязанов А.В., Еселевский И.А., Доплер А.Э.","АО ""Экарма ЛТД""","Новая - Не удовлетворительно",-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2021-03-22 11:34","2021-03-22 11:34",KozhinDev
ТЕСТ2!,1,2,Эксплуатационные,2021-03-23,-,"ООО""ДЕЛО 777""","Новая - Удовлетворительно",2,1,14,1,1,0,1,1,1,2,-,2,2,-,2,-,-,-,"2021-03-23 03:52","2021-03-23 03:55",KozhinDev
,,,,,-,," - ",-,1,-,-,-,-,-,-,-,5,5,-,5,5,-,-,-,-,"2021-03-30 06:44","2021-03-30 06:44",KozhinDev
